what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1308898982994
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899066073
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899076172
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899103165
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899161135
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899175359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899182021
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899202288
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899260490
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899277419
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899289857
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899314026
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899315337
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899318265
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899352947
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1308899361605
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1308899362150
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308899371169
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308899383270
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308899384327
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1308899385157
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1308899385278
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308899385359
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1308899386455
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899391038
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899392462
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1308899392674
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1308899399902
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308899409553
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308899409636
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1308899409659
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308899409691
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899416803
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899416983
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899417427
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899502765
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1308899510802
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1308899511437
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308899513485
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308899515469
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308899515565
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308899526838
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1308899529977
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308899530151
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1308899579974
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899586385
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899669688
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308899679547
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308899684569
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899692283
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899698099
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308899699083
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899722682
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899774891
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308899780315
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899808275
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899848542
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308899851177
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308899876295
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899878068
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899905595
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308899913093
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308899932075
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899938834
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308899945031
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1308899964079
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1308899964108
